L,mc,T,Jhash,observable,parameter,value
32,3,0.900000,352c5017,"Correlation",39,0.372928
32,3,0.900000,352c5017,"Correlation",44,0.366013
32,3,0.900000,352c5017,"Correlation",51,0.353521
32,3,0.900000,352c5017,"Correlation",59,0.344529
32,3,0.900000,352c5017,"Correlation",68,0.333418
32,3,0.900000,352c5017,"Correlation",79,0.323065
32,3,0.900000,352c5017,"Correlation",91,0.316264
32,3,0.900000,352c5017,"Correlation",104,0.307809
32,3,0.900000,352c5017,"Correlation",120,0.295306
32,3,0.900000,352c5017,"Correlation",138,0.284433
32,3,0.900000,352c5017,"Correlation",159,0.274475
32,3,0.900000,352c5017,"Correlation",184,0.266517
32,3,0.900000,352c5017,"Correlation",212,0.255761
32,3,0.900000,352c5017,"Correlation",244,0.246736
32,3,0.900000,352c5017,"Correlation",281,0.238979
32,3,0.900000,352c5017,"Correlation",323,0.230007
32,3,0.900000,352c5017,"Correlation",372,0.224016
32,3,0.900000,352c5017,"Correlation",429,0.215608
32,3,0.900000,352c5017,"Correlation",494,0.211196
32,3,0.900000,352c5017,"Correlation",568,0.203331
32,3,0.900000,352c5017,"Correlation",655,0.197065
32,3,0.900000,352c5017,"Correlation",754,0.191749
32,3,0.900000,352c5017,"Correlation",868,0.184608
32,3,0.900000,352c5017,"Correlation",1000,0.181292
32,4,0.900000,352c5017,"Correlation",1,0.748088
32,4,0.900000,352c5017,"Correlation",2,0.697789
32,4,0.900000,352c5017,"Correlation",3,0.657572
32,4,0.900000,352c5017,"Correlation",4,0.640064
32,4,0.900000,352c5017,"Correlation",5,0.609945
32,4,0.900000,352c5017,"Correlation",6,0.598217
32,4,0.900000,352c5017,"Correlation",7,0.578296
32,4,0.900000,352c5017,"Correlation",8,0.568865
32,4,0.900000,352c5017,"Correlation",9,0.556513
32,4,0.900000,352c5017,"Correlation",10,0.548976
32,4,0.900000,352c5017,"Correlation",12,0.532915
32,4,0.900000,352c5017,"Correlation",14,0.517026
32,4,0.900000,352c5017,"Correlation",16,0.503959
32,4,0.900000,352c5017,"Correlation",19,0.488528
32,4,0.900000,352c5017,"Correlation",22,0.475891
32,4,0.900000,352c5017,"Correlation",25,0.462513
32,4,0.900000,352c5017,"Correlation",29,0.449501
32,4,0.900000,352c5017,"Correlation",33,0.439165
32,4,0.900000,352c5017,"Correlation",39,0.426999
32,4,0.900000,352c5017,"Correlation",44,0.415815
32,4,0.900000,352c5017,"Correlation",51,0.404419
32,4,0.900000,352c5017,"Correlation",59,0.395159
32,4,0.900000,352c5017,"Correlation",68,0.381606
32,4,0.900000,352c5017,"Correlation",79,0.370088
32,4,0.900000,352c5017,"Correlation",91,0.360773
32,4,0.900000,352c5017,"Correlation",104,0.351193
32,4,0.900000,352c5017,"Correlation",120,0.339870
32,4,0.900000,352c5017,"Correlation",138,0.327084
32,4,0.900000,352c5017,"Correlation",159,0.315967
32,4,0.900000,352c5017,"Correlation",184,0.305551
32,4,0.900000,352c5017,"Correlation",212,0.294407
32,4,0.900000,352c5017,"Correlation",244,0.284482
32,4,0.900000,352c5017,"Correlation",281,0.275010
32,4,0.900000,352c5017,"Correlation",323,0.265471
32,4,0.900000,352c5017,"Correlation",372,0.259245
32,4,0.900000,352c5017,"Correlation",429,0.250035
32,4,0.900000,352c5017,"Correlation",494,0.242839
32,4,0.900000,352c5017,"Correlation",568,0.234759
32,4,0.900000,352c5017,"Correlation",655,0.227638
32,4,0.900000,352c5017,"Correlation",754,0.221950
32,4,0.900000,352c5017,"Correlation",868,0.214300
32,4,0.900000,352c5017,"Correlation",1000,0.210868
32,5,0.900000,352c5017,"Correlation",1,0.772630
32,5,0.900000,352c5017,"Correlation",2,0.729274
32,5,0.900000,352c5017,"Correlation",3,0.692607
32,5,0.900000,352c5017,"Correlation",4,0.677886
32,5,0.900000,352c5017,"Correlation",5,0.647150
32,5,0.900000,352c5017,"Correlation",6,0.639233
32,5,0.900000,352c5017,"Correlation",7,0.618617
32,5,0.900000,352c5017,"Correlation",8,0.611450
32,5,0.900000,352c5017,"Correlation",9,0.598886
32,5,0.900000,352c5017,"Correlation",10,0.591282
32,5,0.900000,352c5017,"Correlation",12,0.575102
32,5,0.900000,352c5017,"Correlation",14,0.559367
32,5,0.900000,352c5017,"Correlation",16,0.546756
32,5,0.900000,352c5017,"Correlation",19,0.528306
32,5,0.900000,352c5017,"Correlation",22,0.517133
32,5,0.900000,352c5017,"Correlation",25,0.504089
32,5,0.900000,352c5017,"Correlation",29,0.489255
32,5,0.900000,352c5017,"Correlation",33,0.479027
32,5,0.900000,352c5017,"Correlation",39,0.466221
32,5,0.900000,352c5017,"Correlation",44,0.455796
32,5,0.900000,352c5017,"Correlation",51,0.442656
32,5,0.900000,352c5017,"Correlation",59,0.432457
32,5,0.900000,352c5017,"Correlation",68,0.417777
32,5,0.900000,352c5017,"Correlation",79,0.406860
32,5,0.900000,352c5017,"Correlation",91,0.395020
32,5,0.900000,352c5017,"Correlation",104,0.385359
32,5,0.900000,352c5017,"Correlation",120,0.371210
32,5,0.900000,352c5017,"Correlation",138,0.359889
32,5,0.900000,352c5017,"Correlation",159,0.348028
32,5,0.900000,352c5017,"Correlation",184,0.336318
32,5,0.900000,352c5017,"Correlation",212,0.324876
32,5,0.900000,352c5017,"Correlation",244,0.313968
32,5,0.900000,352c5017,"Correlation",281,0.304237
32,5,0.900000,352c5017,"Correlation",323,0.293175
32,5,0.900000,352c5017,"Correlation",372,0.285688
32,5,0.900000,352c5017,"Correlation",429,0.276178
32,5,0.900000,352c5017,"Correlation",494,0.269063
32,5,0.900000,352c5017,"Correlation",568,0.260138
32,5,0.900000,352c5017,"Correlation",655,0.252377
32,5,0.900000,352c5017,"Correlation",754,0.245164
32,5,0.900000,352c5017,"Correlation",868,0.238182
32,5,0.900000,352c5017,"Correlation",1000,0.232521
32,6,0.900000,352c5017,"Correlation",1,0.786624
32,6,0.900000,352c5017,"Correlation",2,0.750741
32,6,0.900000,352c5017,"Correlation",3,0.715570
32,6,0.900000,352c5017,"Correlation",4,0.703203
32,6,0.900000,352c5017,"Correlation",5,0.673343
32,6,0.900000,352c5017,"Correlation",6,0.668591
32,6,0.900000,352c5017,"Correlation",7,0.648036
32,6,0.900000,352c5017,"Correlation",8,0.641506
32,6,0.900000,352c5017,"Correlation",9,0.627625
32,6,0.900000,352c5017,"Correlation",10,0.621672
32,6,0.900000,352c5017,"Correlation",12,0.604155
32,6,0.900000,352c5017,"Correlation",14,0.589437
32,6,0.900000,352c5017,"Correlation",16,0.576823
32,6,0.900000,352c5017,"Correlation",19,0.559155
32,6,0.900000,352c5017,"Correlation",22,0.545195
32,6,0.900000,352c5017,"Correlation",25,0.531857
32,6,0.900000,352c5017,"Correlation",29,0.518840
32,6,0.900000,352c5017,"Correlation",33,0.507775
32,6,0.900000,352c5017,"Correlation",39,0.494600
32,6,0.900000,352c5017,"Correlation",44,0.483055
32,6,0.900000,352c5017,"Correlation",51,0.470421
32,6,0.900000,352c5017,"Correlation",59,0.458110
32,6,0.900000,352c5017,"Correlation",68,0.444598
32,6,0.900000,352c5017,"Correlation",79,0.433919
32,6,0.900000,352c5017,"Correlation",91,0.421727
32,6,0.900000,352c5017,"Correlation",104,0.409281
32,6,0.900000,352c5017,"Correlation",120,0.398237
32,6,0.900000,352c5017,"Correlation",138,0.385152
32,6,0.900000,352c5017,"Correlation",159,0.372338
