"mc","physicist","E","T","L"
115.0,"Sergio (replica A)",-0.5533854166666666,0.6,8
116.0,"Sergio (replica A)",-0.55078125,0.6,8
117.0,"Sergio (replica A)",-0.5533854166666666,0.6,8
118.0,"Sergio (replica A)",-0.5533854166666666,0.6,8
120.0,"Sergio (replica A)",-0.5533854166666666,0.6,8
121.0,"Sergio (replica A)",-0.5533854166666666,0.6,8
122.0,"Sergio (replica A)",-0.5533854166666666,0.6,8
123.0,"Sergio (replica A)",-0.5533854166666666,0.6,8
126.0,"Sergio (replica A)",-0.5559895833333334,0.6,8
128.0,"Sergio (replica A)",-0.5559895833333334,0.6,8
129.0,"Sergio (replica A)",-0.5559895833333334,0.6,8
130.0,"Sergio (replica A)",-0.5559895833333334,0.6,8
131.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
132.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
133.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
134.0,"Sergio (replica A)",-0.55859375,0.6,8
135.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
136.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
137.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
139.0,"Sergio (replica A)",-0.55859375,0.6,8
140.0,"Sergio (replica A)",-0.55859375,0.6,8
141.0,"Sergio (replica A)",-0.55859375,0.6,8
143.0,"Sergio (replica A)",-0.55859375,0.6,8
144.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
145.0,"Sergio (replica A)",-0.55859375,0.6,8
147.0,"Sergio (replica A)",-0.55859375,0.6,8
150.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
152.0,"Sergio (replica A)",-0.55859375,0.6,8
153.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
154.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
155.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
156.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
157.0,"Sergio (replica A)",-0.55859375,0.6,8
158.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
160.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
161.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
163.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
165.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
166.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
168.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
171.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
173.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
174.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
178.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
180.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
181.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
182.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
183.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
184.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
185.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
186.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
