# itime = 0
# Dt = 0
# t = 0
# timewindow = 10000000
# flagJ = 0
# flagS = 0
# flag_h = 666
# flag_continua = 0
# beta = 1.250000
# Hfield = 0.000000

# timeHon = 1
# Hfield        1|
# MC time       2|
# Index         3|
# Delta_t       4|
# t             5|
# Beta          6|
# E_sigma       7|
# E_tau         8|
# Emag_sigma    9|
# Emag_tau     10|
# q            11|
# mag_sigma    12|
# mag_tau      13|
# SD sigma     14|
# SD tau       15|
 +0.000 0            0 0 0	 +1.250000e+00	 -2.9296875000e-03 -1.1718750000e-02	 -0.0000000000e+00 -0.0000000000e+00	  -7.8125000000e-03 	 -1.2695312500e-02  -7.8125000000e-03	+6.1132400461e+04  +6.0279236148e+04
 +0.000 1            0 1 1	 +1.250000e+00	 -1.0683593750e+00 -1.0449218750e+00	 +0.0000000000e+00 -0.0000000000e+00	  -4.3945312500e-03 	 +1.6601562500e-02  -1.3183593750e-02	+1.9710609059e+02  +1.7135534245e+03
 +0.000 2            1 1 2	 +1.250000e+00	 -1.3437500000e+00 -1.3251953125e+00	 +0.0000000000e+00 -0.0000000000e+00	  -3.4179687500e-03 	 +1.1718750000e-02  -2.4902343750e-02	+4.1067589982e+01  +2.4516478786e+01
 +0.000 3            2 1 3	 +1.250000e+00	 -1.4501953125e+00 -1.4287109375e+00	 +0.0000000000e+00 -0.0000000000e+00	  -1.4648437500e-02 	 +4.8828125000e-03  -3.9062500000e-03	+6.9362055133e+00  +1.6372570784e+00
 +0.000 4            3 1 4	 +1.250000e+00	 -1.5136718750e+00 -1.4794921875e+00	 +0.0000000000e+00 -0.0000000000e+00	  -2.5878906250e-02 	 +1.9531250000e-02  -1.0253906250e-02	+9.9606530697e-01  +9.3292434690e-01
 +0.000 5            4 1 5	 +1.250000e+00	 -1.5507812500e+00 -1.5107421875e+00	 +0.0000000000e+00 -0.0000000000e+00	  -3.0273437500e-02 	 +6.8359375000e-03  -1.5625000000e-02	+7.6814246544e-01  +9.9341758334e-01
 +0.000 6            5 1 6	 +1.250000e+00	 -1.5654296875e+00 -1.5234375000e+00	 +0.0000000000e+00 -0.0000000000e+00	  -3.8085937500e-02 	 +6.3476562500e-03  -2.8808593750e-02	+6.5408675660e-01  +6.3728470418e+00
 +0.000 7            6 1 7	 +1.250000e+00	 -1.5722656250e+00 -1.5498046875e+00	 +0.0000000000e+00 -0.0000000000e+00	  -1.2207031250e-02 	 +6.8359375000e-03  -1.8066406250e-02	+8.3353289892e-01  +6.9424629382e-01
 +0.000 8            7 1 8	 +1.250000e+00	 -1.5878906250e+00 -1.5625000000e+00	 +0.0000000000e+00 -0.0000000000e+00	  -4.6875000000e-02 	 +7.8125000000e-03  -2.5390625000e-02	+5.7188500358e-01  +8.2968928964e-01
 +0.000 9            8 1 9	 +1.250000e+00	 -1.5869140625e+00 -1.5810546875e+00	 +0.0000000000e+00 -0.0000000000e+00	  -4.2480468750e-02 	 +8.7890625000e-03  -2.9785156250e-02	+6.8321109450e-01  +7.5809211904e-01
 +0.000 10           9 1 10	 +1.250000e+00	 -1.6005859375e+00 -1.5937500000e+00	 +0.0000000000e+00 -0.0000000000e+00	  -3.0761718750e-02 	 +1.4160156250e-02  -2.1484375000e-02	+3.5588882749e-01  +4.9455316633e-01
 +0.000 11           10 1 11	 +1.250000e+00	 -1.6103515625e+00 -1.5908203125e+00	 +0.0000000000e+00 -0.0000000000e+00	  -2.1484375000e-02 	 +4.8828125000e-03  -2.1484375000e-02	+3.5177426333e-01  +6.4188023551e-01
 +0.000 12           11 1 12	 +1.250000e+00	 -1.6113281250e+00 -1.5966796875e+00	 +0.0000000000e+00 -0.0000000000e+00	  -3.6132812500e-02 	 +9.7656250000e-03  -3.0273437500e-02	+4.9715965657e-01  +6.7468636580e-01
 +0.000 13           12 1 13	 +1.250000e+00	 -1.6181640625e+00 -1.6064453125e+00	 +0.0000000000e+00 -0.0000000000e+00	  -3.8574218750e-02 	 +1.5625000000e-02  -1.9042968750e-02	+5.6380050066e-01  +6.3796082725e-01
 +0.000 14           13 1 14	 +1.250000e+00	 -1.6308593750e+00 -1.6123046875e+00	 +0.0000000000e+00 -0.0000000000e+00	  -3.7109375000e-02 	 +1.7089843750e-02  -2.0019531250e-02	+3.4347530570e-01  +7.0893884881e-01
 +0.000 15           14 1 15	 +1.250000e+00	 -1.6308593750e+00 -1.6220703125e+00	 +0.0000000000e+00 -0.0000000000e+00	  -3.0761718750e-02 	 +1.4160156250e-02  -1.7578125000e-02	+3.0602437661e-01  +3.8210821882e-01
 +0.000 16           15 1 16	 +1.250000e+00	 -1.6279296875e+00 -1.6230468750e+00	 +0.0000000000e+00 -0.0000000000e+00	  -2.1484375000e-02 	 +1.6601562500e-02  -2.7343750000e-02	+7.4126119243e-01  +5.6083853194e-01
 +0.000 17           16 1 17	 +1.250000e+00	 -1.6347656250e+00 -1.6298828125e+00	 +0.0000000000e+00 -0.0000000000e+00	  -4.1992187500e-02 	 +1.4160156250e-02  -2.0019531250e-02	+4.9006325240e-01  +3.4535355590e-01
 +0.000 18           17 1 18	 +1.250000e+00	 -1.6416015625e+00 -1.6240234375e+00	 +0.0000000000e+00 -0.0000000000e+00	  -3.6132812500e-02 	 +2.2949218750e-02  -2.1972656250e-02	+3.7697458846e-01  +1.1209913425e+01
